"","gvkey","key_id"
"639",3584,"Sz3"
"640",3586,"dT3"
"641",3594,"pyE"
"642",3599,"MSI"
"643",3600,"LQm"
"644",3601,"Bgf"
"645",3609,"WIh"
"646",3610,"PKs"
"647",3612,"KM0"
"648",3615,"89M"
"649",3617,"2xn"
"650",3619,"HDr"
"651",3622,"pZA"
"652",3625,"9MZ"
"653",3628,"Guq"
"654",3637,"Q4c"
"655",3639,"voh"
"656",3640,"m0o"
"657",3642,"RSm"
"658",3647,"xFn"
"659",3650,"vcn"
"660",3657,"9Fi"
"661",3662,"uGY"
"662",3665,"N9M"
"663",3668,"z0a"
"664",3674,"04X"
"665",3683,"PUu"
"666",3684,"D48"
"667",3686,"9a4"
"668",3691,"eMp"
"669",3693,"oli"
"670",3700,"TEn"
"671",3702,"Nyg"
"672",3705,"9gD"
"673",3711,"Qos"
"674",3712,"AsI"
"675",3713,"zzh"
"676",3735,"PXq"
"677",3736,"5FH"
"678",3747,"ov1"
"679",3751,"CYZ"
"680",3756,"VuZ"
"681",3760,"DWp"
"682",3761,"CSM"
"683",3762,"QJM"
"684",3769,"1ik"
"685",3772,"qVW"
"686",3773,"gfk"
"687",3776,"mRc"
"688",3779,"MOC"
"689",3781,"pSH"
"690",3785,"d9V"
"691",3786,"OUu"
"692",3787,"DVE"
"693",3789,"NQO"
"694",3796,"rSu"
"695",3798,"rTf"
"696",3805,"oA3"
"697",3806,"2Pf"
"698",3807,"zXs"
"699",3813,"sbT"
"700",3814,"2pH"
"701",3819,"8aw"
"702",3820,"1P1"
"703",3821,"Wm5"
"704",3824,"pMl"
"705",3827,"7y8"
"706",3831,"jnW"
"707",3833,"n7I"
"708",3837,"Tds"
"709",3839,"FTm"
"710",3840,"Wof"
"711",3844,"C0d"
"712",3848,"KbY"
"713",3849,"3ds"
"714",3855,"egy"
"715",3863,"ymE"
"716",3872,"2GX"
"717",3886,"K3d"
"718",3888,"qDP"
"719",3892,"i32"
"720",3895,"5VQ"
"721",3896,"osq"
"722",3897,"YEr"
"723",3907,"DTy"
"724",3908,"i9g"
"725",3911,"Ykb"
"726",3913,"zCR"
"727",3916,"4NP"
"728",3917,"fpt"
"729",3918,"pjT"
"730",3930,"PJH"
"731",3933,"QEO"
"732",3935,"dbv"
"733",3936,"Xhb"
"734",3937,"acC"
"735",3938,"rAZ"
"736",3940,"AHa"
"737",3946,"xqB"
"738",3949,"hnj"
"739",3955,"WW2"
"740",3957,"fs1"
"741",3963,"CiA"
"742",3964,"Oy4"
"743",3971,"1qE"
"744",3979,"cyh"
"745",3994,"aAl"
"746",4001,"YGg"
"747",4008,"164"
"748",4016,"oJl"
"749",4017,"LLK"
"750",4019,"Alw"
"751",4020,"gMM"
"752",4024,"ZhT"
"753",4029,"eFz"
"754",4031,"EWJ"
"755",4034,"PTW"
"756",4036,"M6I"
"757",4041,"f3A"
"758",4049,"oQr"
"759",4050,"dEQ"
"760",4051,"1wJ"
"761",4052,"irO"
"762",4054,"g4z"
"763",4055,"CbV"
"764",4058,"yXs"
"765",4059,"0nx"
"766",4060,"FOa"
"767",4062,"jem"
"768",4066,"yl2"
"769",4069,"vu2"
"770",4072,"3kQ"
"771",4073,"Tme"
"772",4077,"BAs"
"773",4078,"UZ8"
"774",4083,"SKe"
"775",4085,"6V2"
"776",4087,"9QZ"
"777",4091,"I0z"
"778",4093,"uxQ"
"779",4094,"oVa"
"780",4100,"jkK"
"781",4101,"fVg"
"782",4103,"M9v"
"783",4108,"RMa"
"784",4110,"Z8L"
"785",4115,"MGc"
"786",4116,"XDu"
"787",4121,"wAn"
"788",4123,"kdn"
"789",4124,"nDn"
"790",4126,"MMk"
"791",4127,"5MI"
"792",4132,"Aw5"
"793",4137,"9BV"
"794",4138,"3I1"
"795",4140,"Dgn"
"796",4145,"IZM"
"797",4148,"frp"
"798",4156,"Oob"
"799",4159,"rHW"
"800",4160,"5dO"
"801",4162,"uJL"
"802",4168,"LMF"
"803",4169,"nVs"
"804",4173,"g7r"
"805",4176,"yg8"
"806",4182,"TS4"
"807",4186,"zqc"
"808",4189,"fgH"
"809",4191,"kR8"
"810",4194,"9Zg"
"811",4204,"ZVp"
"812",4205,"COA"
"813",4213,"i2Q"
"814",4218,"eqV"
"815",4220,"MTZ"
"816",4222,"NyR"
"817",4223,"CUp"
"818",4225,"0wW"
"819",4238,"iP1"
"820",4241,"1aC"
"821",4245,"8XH"
"822",4248,"jvS"
"823",4250,"nAM"
"824",4251,"eVV"
"825",4265,"IZM"
"826",4267,"6hi"
"827",4274,"ehk"
"828",4275,"qve"
"829",4277,"73S"
"830",4279,"IVt"
"831",4280,"xtM"
"832",4283,"hfL"
"833",4285,"MTZ"
"834",4292,"5hg"
"835",4293,"jMe"
"836",4296,"hNG"
"837",4297,"Cr4"
"838",4299,"UMv"
"839",4312,"5NS"
"840",4313,"O70"
"841",4316,"wkR"
"842",4321,"e6L"
"843",4322,"pmK"
"844",4329,"AYx"
"845",4331,"tEI"
"846",4335,"mXe"
"847",4340,"Jkw"
"848",4344,"RSy"
"849",4348,"BSa"
"850",4351,"EHm"
"851",4352,"dIy"
"852",4367,"zUr"
"853",4371,"q66"
"854",4372,"kbn"
"855",4374,"CZM"
"856",4381,"AjD"
"857",4383,"6PY"
"858",4388,"arA"
"859",4390,"ASx"
"860",4401,"1Bj"
"861",4402,"jWF"
"862",4409,"2vh"
"863",4411,"d5z"
"864",4413,"shK"
"865",4414,"bB7"
"866",4415,"zwE"
"867",4416,"k8K"
"868",4418,"uoN"
"869",4423,"gN8"
"870",4427,"naC"
"871",4430,"8yR"
"872",4434,"IvL"
"873",4443,"sCk"
"874",4448,"NTv"
"875",4450,"Bmr"
"876",4453,"SdT"
"877",4456,"llX"
"878",4457,"BCW"
"879",4460,"3aX"
"880",4463,"Y7m"
"881",4467,"lYt"
"882",4469,"em3"
"883",4471,"AWA"
"884",4473,"Ung"
"885",4476,"olF"
"886",4477,"FOH"
"887",4479,"oCr"
"888",4491,"4Oh"
"889",4494,"Uv7"
"890",4496,"2qE"
"891",4497,"tbC"
"892",4498,"gDv"
"893",4503,"k4k"
"894",4506,"kqm"
"895",4510,"yfH"
"896",4520,"jGz"
"897",4523,"aYe"
"898",4526,"mpm"
"899",4527,"0ek"
"900",4530,"ns3"
"901",4545,"8ki"
"902",4551,"XBm"
"903",4552,"Ikl"
"904",4553,"abh"
"905",4560,"ACm"
"906",4564,"kEe"
"907",4568,"swU"
"908",4572,"H1j"
"909",4573,"iNs"
"910",4579,"NEH"
"911",4585,"gpy"
"912",4589,"yIg"
"913",4592,"g1c"
"914",4595,"bfK"
"915",4598,"kAO"
"916",4600,"FtI"
"917",4603,"VvU"
"918",4607,"8k7"
"919",4616,"VnL"
"920",4622,"bcp"
"921",4623,"VY4"
"922",4629,"B6Q"
"923",4632,"E12"
"924",4635,"IBL"
"925",4639,"fXj"
"926",4645,"TjA"
"927",4660,"B4M"
"928",4664,"ibk"
"929",4671,"tPy"
"930",4675,"ZMD"
"931",4719,"knU"
"932",4731,"iQQ"
"933",4747,"gAc"
"934",4751,"sXI"
"935",4758,"aNO"
"936",4759,"fmS"
"937",4769,"3q0"
"938",4771,"MVp"
"939",4772,"2zY"
"940",4777,"YlV"
"941",4779,"NUV"
"942",4781,"Br2"
"943",4783,"Tge"
"944",4790,"ItG"
"945",4800,"jgg"
"946",4801,"8d4"
"947",4802,"aS6"
"948",4806,"FAU"
"949",4807,"wHZ"
"950",4809,"7ik"
"951",4817,"tDA"
"952",4818,"YsR"
"953",4819,"KlN"
"954",4826,"exc"
"955",4828,"dMF"
"956",4834,"rEd"
"957",4837,"Ig5"
"958",4838,"fy7"
"959",4843,"iXY"
"960",4844,"8tH"
"961",4860,"Ke6"
"962",4864,"BHX"
"963",4878,"eHq"
"964",4881,"08T"
"965",4891,"zMr"
"966",4895,"mp4"
"967",4903,"3T2"
"968",4911,"a3G"
"969",4918,"7Tk"
"970",4924,"mQj"
"971",4925,"lPm"
"972",4926,"erO"
"973",4932,"Eh6"
"974",4933,"POr"
"975",4936,"UNo"
"976",4954,"kDy"
"977",4956,"HsU"
"978",4960,"yUF"
"979",4961,"8QY"
"980",4962,"fcF"
"981",4963,"Ff7"
"982",4972,"dtW"
"983",4973,"bfX"
"984",4975,"Ml8"
"985",4976,"o2x"
"986",4977,"IML"
"987",4981,"53m"
"988",4985,"hiS"
"989",4987,"F2R"
"990",4990,"N1E"
"991",4993,"4Xm"
"992",5014,"JFY"
"993",5018,"t0F"
"994",5019,"o6K"
"995",5020,"y93"
"996",5027,"cOQ"
"997",5032,"3mV"
"998",5043,"mc6"
"999",5045,"QMw"
"1000",5046,"RqO"
"1001",5050,"IXT"
"1002",5060,"sa1"
"1003",5061,"dl7"
"1004",5063,"kiU"
"1005",5065,"zix"
"1006",5066,"RaI"
"1007",5070,"LYu"
"1008",5071,"0Vj"
"1009",5074,"W23"
"1010",5079,"Fg9"
"1011",5087,"uSU"
"1012",5109,"6At"
"1013",5111,"Q1B"
"1014",5113,"mlQ"
"1015",5116,"G3i"
"1016",5118,"uHm"
"1017",5119,"TXs"
"1018",5122,"ZhG"
"1019",5124,"RaG"
"1020",5125,"Ftr"
"1021",5129,"vrk"
"1022",5130,"XBt"
"1023",5131,"goy"
"1024",5133,"2BR"
"1025",5134,"0kG"
"1026",5140,"4Qp"
"1027",5141,"Dqi"
"1028",5142,"pF3"
"1029",5144,"uBh"
"1030",5151,"sj3"
"1031",5152,"PmJ"
"1032",5153,"u0H"
"1033",5156,"ksZ"
"1034",5160,"4nn"
"1035",5161,"B71"
"1036",5166,"XA0"
"1037",5169,"H5O"
"1038",5174,"7XR"
"1039",5180,"diE"
"1040",5181,"E7v"
"1041",5185,"T5Y"
"1042",5187,"Iez"
"1043",5188,"GDE"
"1044",5198,"4aU"
"1045",5210,"zoQ"
"1046",5211,"E8e"
"1047",5215,"EWu"
"1048",5218,"ecf"
"1049",5224,"wpr"
"1050",5229,"gyJ"
"1051",5231,"6eR"
"1052",5233,"FSz"
"1053",5234,"7vJ"
"1054",5237,"Ej4"
"1055",5247,"sXg"
"1056",5250,"mzT"
"1057",5252,"ZAo"
"1058",5254,"pXP"
"1059",5256,"SNw"
"1060",5275,"nHz"
"1061",5277,"qaq"
"1062",5293,"BJa"
"1063",5301,"VzA"
"1064",5302,"uAX"
"1065",5305,"N11"
"1066",5306,"5nK"
"1067",5307,"1CY"
"1068",5327,"mo5"
"1069",5330,"YUf"
"1070",5334,"Urz"
"1071",5336,"5ff"
"1072",5338,"8R2"
"1073",5339,"q1k"
"1074",5340,"5IQ"
"1075",5344,"LTA"
"1076",5354,"0E5"
"1077",5357,"FpJ"
"1078",5369,"ct3"
"1079",5374,"rIl"
"1080",5377,"3F8"
"1081",5378,"YX4"
"1082",5379,"75w"
"1083",5386,"yJO"
"1084",5387,"qya"
"1085",5397,"eKg"
"1086",5398,"ArK"
