"","cost_complexity",".metric",".estimator","mean","n","std_err",".config"
"52",0.00345986211607722,"spec","binary",0.674774428246844,10,0.0179551011496043,"Preprocessor1_Model13"
"53",0.00777359340439803,"accuracy","binary",0.621446001245315,10,0.0101081417862768,"Preprocessor1_Model14"
"54",0.00777359340439803,"kap","binary",0.0139660726977635,10,0.000974677882434931,"Preprocessor1_Model14"
"55",0.00777359340439803,"sens","binary",0.620656719558952,10,0.0102955562376537,"Preprocessor1_Model14"
"56",0.00777359340439803,"spec","binary",0.715939631995999,10,0.018043346572908,"Preprocessor1_Model14"
"57",0.0174656539450232,"accuracy","binary",0.622257538264137,10,0.0205532808698518,"Preprocessor1_Model15"
"58",0.0174656539450232,"kap","binary",0.0127994264596943,10,0.000915224109803738,"Preprocessor1_Model15"
"59",0.0174656539450232,"sens","binary",0.621636280410368,10,0.0209210203300774,"Preprocessor1_Model15"
"60",0.0174656539450232,"spec","binary",0.685917756790384,10,0.0308180573793754,"Preprocessor1_Model15"
"61",0.0392417061014176,"accuracy","binary",0.571736031074287,10,0.0258711481039552,"Preprocessor1_Model16"
"62",0.0392417061014176,"kap","binary",0.00961274247247674,10,0.00104399752199118,"Preprocessor1_Model16"
"63",0.0392417061014176,"sens","binary",0.570856724515202,10,0.0262546700280606,"Preprocessor1_Model16"
"64",0.0392417061014176,"spec","binary",0.683164897306496,10,0.0340803971090248,"Preprocessor1_Model16"
"65",0.088167984010059,"accuracy","binary",0.522108179865774,10,0.0336449753146866,"Preprocessor1_Model17"
"66",0.088167984010059,"kap","binary",0.00780647459068458,10,0.00117343326569541,"Preprocessor1_Model17"
"67",0.088167984010059,"sens","binary",0.520579946265224,10,0.0341182495194556,"Preprocessor1_Model17"
"68",0.088167984010059,"spec","binary",0.701470478246496,10,0.0237698237744026,"Preprocessor1_Model17"
"69",0.198095194543981,"accuracy","binary",0.522108179865774,10,0.0336449753146866,"Preprocessor1_Model18"
"70",0.198095194543981,"kap","binary",0.00780647459068458,10,0.00117343326569541,"Preprocessor1_Model18"
"71",0.198095194543981,"sens","binary",0.520579946265224,10,0.0341182495194556,"Preprocessor1_Model18"
"72",0.198095194543981,"spec","binary",0.701470478246496,10,0.0237698237744026,"Preprocessor1_Model18"
"73",0.445078863286025,"accuracy","binary",0.991971988922557,10,0.000488416019574736,"Preprocessor1_Model19"
"74",0.445078863286025,"kap","binary",0,10,0,"Preprocessor1_Model19"
"75",0.445078863286025,"sens","binary",1,10,0,"Preprocessor1_Model19"
"76",0.445078863286025,"spec","binary",0,10,0,"Preprocessor1_Model19"
"77",1,"accuracy","binary",0.991971988922557,10,0.000488416019574736,"Preprocessor1_Model20"
"78",1,"kap","binary",0,10,0,"Preprocessor1_Model20"
"79",1,"sens","binary",1,10,0,"Preprocessor1_Model20"
"80",1,"spec","binary",0,10,0,"Preprocessor1_Model20"
