"X1009_id","X1011_id","X1017_id","X1021_id","X1028_id","X1034_id","X1036_id","X1043_id","X1045_id","X1050_id","X1054_id","X1056_id","X1058_id","X1065_id","X1073_id","X1075_id","X1078_id","X1081_id","X1082_id","X1094_id","X1095_id","X1096_id","X1098_id","X1099_id","X1104_id","X1108_id","X1109_id","X1111_id","X1115_id","X1116_id","X1117_id","X1121_id","X1128_id","X1137_id","X1138_id","X1141_id","X1151_id","X1154_id","X1155_id","X1161_id","X1164_id","X1166_id","X1171_id","X1173_id","X1181_id","X1186_id","X1189_id","X1197_id","X1203_id","X1208_id","X1209_id","X1210_id","X1212_id","X1213_id","X1228_id","X1230_id","X1231_id","X1234_id","X1235_id","X1238_id","X1239_id","X1240_id","X1243_id","X1244_id","X1245_id","X1250_id","X1253_id","X1254_id","X1255_id","X1257_id","X1260_id","X1262_id","X1264_id","X1266_id","X1279_id","X1281_id","X1283_id","X1286_id","X1297_id","X1300_id","X1311_id","X1318_id","X1324_id","X1327_id","X1328_id","X1331_id","X1334_id","X1351_id","X1356_id","X1359_id","X1360_id","X1365_id","X1372_id","X1380_id","X1382_id","X1392_id","X1397_id","X1410_id","X1411_id","X1430_id"
1.971,0.7,6.271,1.325,2.711,8.283,18.628,18.495,687.4,0,7.606,4.349,6.512,2.636,0.159,213.891,355.886,113.3,1.655,0.694,13.013,5.185,6.907,1.867,1.357,2.494,0.103,3.81,2.433,0.357,1.809,1.267,11.548,3.706,0.101,0.223,1.148,0.696,0.454,128.274,9.418,11.275,23.853,0.609,21.575,16.505,7.138,1.624,5.269,2.461,308,0.235,10.149,67.877,0.013,58.495,0.745,0.548,1.275,137.5,10.125,123.777,393,0.059,10.264,1.605,72.3,63.971,2.246,7.059,0.47,19.345,0.459,2.677,180.891,6.716,0.649,0.231,14.239,426,11.821,193.911,1.234,5.091,0.13,0.687,2.831,2.517,707.5,5.61,0.075,237.3,10.794,743.467,77.503,156.568,4.629,7.019,9.65,232.8
1.431,-1.869,1.722,0.422,-23.577,14.106,19.724,-41.532,-39.6,-1.172,4.974,2.505,-16.798,-45.947,-0.692,101.268,965.774,-44.6,1.027,5.002,-14.518,-9.024,3.063,3.69,1.3,-16.995,-0.085,-26.838,3.342,-0.575,1.7,1.844,17.517,8.453,2.662,-0.183,1.184,2.198,-0.82,-53.552,9.792,-17.251,28.255,0.435,24.179,-47.687,5.363,2.432,11.067,3.767,229.9,0.744,-1.975,33.577,-1.004,17.167,-9.225,3.869,1.408,53.6,35.01,233.774,543,-0.092,-20.549,0.641,54.9,115.189,0.739,-3.949,-1.101,4.982,-1.874,4.697,209.907,-1.262,4.689,-0.483,-5.768,462,-19.643,192.799,-1.235,1.306,-0.613,-6.051,-7.525,1.28,295.2,24.654,0.08,225.9,-13.373,482.713,-76.695,183.954,1.666,9.846,14.268,107.8
2.355,0.663,4.292,15.463,8.971,61.062,248.266,171.143,608.5,0,3.846,31.183,22.637,0.689,0.276,129.25,777.623,399.6,4.01,22.717,0,82.883,36.928,22.4,17.909,39.151,1.109,0.695,19.044,4.982,18.693,1.21,0,5.993,0.004,0.683,3.893,12.906,12.125,90.042,0,54.105,0,5.52,18.56,8.425,32.087,13.21,0,5.318,246.9,0.204,8.276,16.933,0,32.095,2.36,0.427,9.275,42.2,138.861,562.713,1787,0.164,286.094,5.351,0,19.738,0,50.921,8.784,7.236,0.288,7.107,193.138,82.465,7.449,0,122.713,2168,0,88.584,2.11,11.015,0,1.137,6.132,7.019,1374.8,14.28,0,696.3,47.461,1345.732,30.782,413.838,20.746,12.59,35.147,855.3
0,0.132,12.989,0,0,0,0,0,0,0.096,0,13.073,0,0,0,537.649,313.964,0,5.373,0,0,1.496,0,0,0,0,0,0,0,0,4.286,0,0,0,3.22,0,0,0,0,0,0,1.338,17.989,0,0,13.941,32.288,0,0,0,37.1,0,0,0,0.491,0,0.314,0.239,0.373,0,0,0,0,0,0,0,94.1,19.683,0,0,0,0,0,2.929,13.581,67.615,0,0,17.079,107,0,158.482,1.428,0,0,3.131,0,0,0,5,0,0,0,4.599,0,0,2.203,3.221,0,103
0,0,2.913,0,0,0,0,0,835.8,0,18.979,0.061,0,2.04,0,0,19.116,0,0,10.858,0,0,0,0,0,0,0,0.729,1.64,0,0.469,0,0,0,0,0,0,0,0,66,0,5.177,0,0,0,0,0,0,0,0,0,0,0,0,0,23.484,0,0,0,0,2.429,0,0,0,0,0.9,283.8,0,0,0,0.184,0,0,7.025,0.123,0,28.7,0,0,0,0,0,14.96,0,0,0,0,0,0,96.378,0,0,0,0,19.705,353.7,0,0,0,80.5
8.382,1.246,32.615,16.208,39.418,95.747,314.503,326.531,4824.7,0.678,51.208,25.804,69.507,10.101,1.229,623.045,2001.175,531.1,16.51,16.612,44.834,59.584,38.849,9.109,7.688,51.028,0.776,19.433,21.881,2.785,20.197,9.909,53.522,9.784,0.764,2.852,4.442,12.667,6.09,317.539,28.431,128.374,48.96,3.289,80.158,18.477,107.825,5.781,111.765,10.182,623,2.56,43.223,151.709,1.487,295.981,85.644,17.646,3.432,142.5,136.777,585.567,2148,0.586,260.089,2.239,1951.8,118.731,7.004,40.61,10.601,84.212,0.804,5.201,426.09,70.373,1.581,0.421,265.884,3424,69.995,343.343,16.818,13.055,0.398,5.661,11.211,9.591,2037.7,18.571,0.025,845.3,53.07,2676.641,345.809,693.564,29.521,66.453,39.825,1703.2
26.073,7.117,73.727,25.545,39.684,217.48,535.625,494.135,9626.2,0.904,53.351,67.232,105.12,16.363,1.229,5137.687,2729.534,1329.7,57.93,21.202,283.91,66.588,61.537,32.613,17.927,60.491,0.783,19.554,22.481,5.439,33.175,15.009,60.581,10.944,0.764,3.213,5.727,15.388,14.946,475.388,129.131,192.247,198.32,5.766,284.019,42.187,145.097,5.841,140.206,30.564,2211.1,3.074,161.285,310.117,1.489,680.906,85.67,27.229,5.784,1210,205.679,925.628,5428,1.078,720.757,3.152,2404.4,688.306,25.19,93.517,15.943,276.746,0.844,20.782,2663.375,202.427,3.109,0.469,319.27,7076,193.679,1595.042,17.483,18.838,0.605,24.411,11.861,17.524,4668.9,311.263,0.101,2657.5,117.193,5950.607,1144.115,956.14,55.985,122.138,97.128,2529.3
2.135,-1.869,2.574,0.422,-22.812,14.106,26.381,-41.532,-39.6,-1.61,4.974,2.505,-17.769,-45.947,-0.692,128.393,965.774,-44.6,1.027,5.002,-14.518,-9.024,5.113,3.69,1.3,-16.995,-0.085,-26.838,3.342,-0.575,1.7,1.844,17.517,8.453,2.662,-0.183,1.184,2.198,-0.81,-53.552,9.792,-17.251,28.255,0.435,24.179,-47.687,1.188,2.432,11.178,3.968,229.9,1.091,-1.071,33.577,-1.177,17.167,-9.225,3.869,1.408,53.6,35.01,233.774,543,-0.092,-20.549,0.641,54.9,115.189,0.739,-3.949,-1.101,4.982,-1.874,4.697,209.907,-1.262,4.689,-0.483,-5.768,462,-19.643,192.799,12.994,1.81,-0.613,-1.986,-7.525,1.28,295.2,24.654,0.085,225.9,-13.373,482.713,-74.671,183.954,1.816,11.233,14.268,352.8
31.767,7.328,78.331,11.145,5.782,128.932,275.815,154.273,13118.9,0.024,32.127,46.249,69.723,10.194,1.287,6796.688,4257.55,2409.2,66.261,11.683,179.095,66.675,138.875,30.765,21.028,29.313,1.14,6.815,19.822,8.301,25.273,17.497,27.084,33.004,1.258,1.122,4.285,8.459,7.073,1449.326,41.648,117.147,201.215,9.06,309.775,151.883,163.613,23.465,40.834,32.902,5010.2,0.985,222.274,656.627,0.45,868.042,38.713,26.567,30.947,2610.9,131.683,1959.444,10445,0.676,44.038,17.012,501.7,1664.165,45.876,170.57,6.703,455.672,3.535,61.54,5972.695,100.596,15.095,1.856,126.837,6435,99.735,2759.43,5.57,67.385,0.587,1.348,15.025,31.824,12919.4,179.242,3.42,5207.3,132.455,11157.983,1070.114,1315.392,69.161,47.76,130.058,3698.4
0,0,0,1.295,0,0,152.144,0.035,0,0,0,0,0,0.021,0,361.014,0,27.2,0,0.95,0,0,3.631,0,0,0,0,0,0,4.817,0,0.51,0,0,0.506,0,0,0,0,0.035,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0.75,60.665,0,0,0,75,0,0,212,0.151,0,0,0,0,0.001,0,0,0,0,0,265.641,2.3,0,0,28.9,0,57.786,23.457,0,0,0,0.986,0,0,55.8,0,0,0.2,0,0,0.091,0,0,0,0,0
